address,final_price,land_area,area,commune,price_per_area,rooms,sale_date,status
Bivägen 9,7725000,1132.0,69.0,"Älvsjö/Långbro, Stockholms kommun",111957.0,4.0,2023-06-07,Sold
Lammholmsbacken 66,4700000,458.0,112.0,"Skärholmen, Stockholms kommun",41964.0,5.0,2025-07-22,Available
Västermovägen 68,9400000,557.0,188.0,"Örby, Stockholms kommun",50000.0,8.0,2024-02-29,Sold
Vinkelvägen 5,12900000,353.0,104.0,"Gamla Enskede, Stockholms kommun",124038.0,4.0,2023-06-06,Available
Björkallén 1,6850000,7375.0,148.0,"Fållan, Huddinge kommun",46284.0,7.0,2025-03-27,Available
Ringvägen 33,6200000,494.0,112.0,"Hanviken, Tyresö kommun",55357.0,6.0,2024-01-29,Sold
Fållnäsgatan 93,10000000,642.0,72.0,"Svedmyra/Enskede, Stockholms kommun",138889.0,6.0,2025-05-05,Sold
Höckertsvägen 9,16750000,637.0,138.0,"Södra Ängby, Stockholms kommun",121377.0,7.0,2024-10-31,Sold
Ambravägen 18,8200000,151.0,115.0,"Beckomberga, Stockholms kommun",71304.0,5.0,2023-02-15,Available
Granåsbacken 5,9500000,839.0,151.0,"Spånga Flysta, Stockholms kommun",62914.0,10.0,2023-05-02,Available
Svalvägen 9,9500000,1252.0,131.0,"Segeltorp, Huddinge kommun",72519.0,6.0,2025-09-01,Sold
Amatörvägen 46,7595000,452.0,74.0,"Tallkrogen, Stockholms kommun",102635.0,5.0,2025-08-12,Sold
Frösövägen 25,9750000,1006.0,150.0,"Snättringe/Långsjön, Huddinge kommun",65000.0,5.0,2025-06-26,Available
Lupinvägen 6,7800000,670.0,120.0,"Hässelby Södra Villastad, Stockholms kommun",65000.0,6.0,2024-05-07,Available
Kårebacken 6,8450000,669.0,141.0,"Spånga - Solhöjden, Stockholms kommun",59929.0,5.0,2024-07-11,Sold
Kaprifolvägen 22,6075000,716.0,139.0,"Hässelby Södra Villastad, Stockholms kommun",43705.0,5.0,2023-01-30,Sold
Solhemsbackarna 198B,8100000,681.0,108.0,"Spånga - Solhem, Stockholms kommun",75000.0,8.0,2024-04-12,Sold
Gullvivegränd 26,5800000,611.0,129.0,"Hässelby - Norra Villastad, Stockholms kommun",44961.0,5.0,2025-09-02,Sold
Tryffelgränd 7,9940000,574.0,84.0,"Gamla Enskede, Stockholms kommun",118333.0,5.0,2024-06-20,Sold
Skattegränd 4B,6650000,663.0,119.0,"Spånga Bromsten, Stockholms kommun",55882.0,5.0,2025-06-27,Sold
Skallgångsbacken 27,9600000,1152.0,144.0,"Solhem, Stockholms kommun",66667.0,6.0,2023-02-09,Sold
Kaprifolvägen 35,7900000,652.0,196.0,"Hässelby Södra Villastad, Stockholms kommun",40306.0,7.0,2025-04-20,Available
Berghamnsbrinken 1,9750000,877.0,149.0,"Hässelby Södra Villastad, Stockholms kommun",65436.0,8.0,2024-11-15,Sold
Hjortsbergsvägen 56,11750000,887.0,108.0,"Hägersten, Stockholms kommun",108796.0,4.0,2023-09-19,Sold
Skälbyvägen 4 /  Fasanvägen 1,6800000,1237.0,90.0,"Barkarby, Järfälla kommun",75556.0,5.0,2025-11-29,Sold
Bultvägen 38,10500000,555.0,66.0,"Hökmossen/Telefonplan, Stockholms kommun",159091.0,5.0,2023-10-25,Sold
Mälsåkersvägen 10,12975000,1295.0,276.0,"Älvsjö - Örby slott, Stockholms kommun",47011.0,8.0,2025-12-15,Sold
Sandviksvägen 97,5300000,601.0,103.0,"Hässelby Södra Villastad, Stockholms kommun",51456.0,4.0,2024-05-24,Sold
Småstuguvägen 2,6100000,364.0,135.0,"Hässelby Södra Villastad, Stockholms kommun",45185.0,7.0,2025-04-16,Sold
Urbergsvägen 5,6045000,1059.0,83.0,"Centrala Stuvsta, Huddinge kommun",72831.0,4.0,2023-04-29,Sold
Lievägen 25,10170000,749.0,101.0,"Älvsjö - Långbro, Stockholms kommun",100693.0,4.0,2024-09-19,Sold
Fiskarfjärdsstranden 11,7600000,1034.0,145.0,"Johannesdal, Stockholms kommun",52414.0,6.0,2024-01-06,Sold
Amaryllisvägen 9A,7450000,1797.0,293.0,"Lindalen, Tyresö kommun",25427.0,10.0,2023-07-16,Sold
Segersminnevägen 21A,9000000,707.0,205.0,"Huddinge - Stuvsta, Huddinge kommun",43902.0,7.0,2024-05-04,Sold
Örhängevägen 22,8000000,577.0,69.0,"Hägersten, Stockholms kommun",115942.0,6.0,2024-04-03,Available
Rågångsvägen 18A,10300000,601.0,200.0,"Spånga Bromsten, Stockholms kommun",51500.0,12.0,2023-08-29,Sold
Tolvmansvägen 10,10450000,1330.0,170.0,"Stuvsta, Huddinge kommun",61471.0,5.0,2023-11-08,Available
Krokvägen 64,17350000,512.0,143.0,"Gamla Enskede, Stockholms kommun",121329.0,6.0,2024-11-13,Sold
Ferievägen 65,25000000,774.0,375.0,"Bromma, Stockholms kommun",66667.0,11.0,2023-07-07,Sold
Sjöhällsstigen 15,9975000,915.0,195.0,"Hässelby Södra Villastad, Stockholms kommun",51154.0,8.0,2023-08-18,Available
Lammholmsbacken 115,4800000,420.0,113.0,"Skärholmen, Stockholms kommun",42478.0,5.0,2024-03-12,Sold
Ramsundsvägen 6,10000000,482.0,100.0,"Bromma - Norra Ängby, Stockholms kommun",100000.0,7.0,2025-10-04,Sold
Nåsvägen 32,21700000,564.0,173.0,"Bromma - Nockeby, Stockholms kommun",125434.0,7.0,2024-01-15,Available
Stjärnvägen 9B,8500000,904.0,153.0,"Hanviken, Tyresö kommun",55556.0,7.0,2025-01-27,Sold
Blåsippsdalen 18,9850000,10057.0,194.0,"Sjöängen/Trångsund, Huddinge kommun",50773.0,7.0,2025-07-31,Sold
Lillskogsvägen 3,7100000,602.0,112.0,"Stuvsta, Huddinge kommun",63393.0,6.0,2024-09-22,Sold
Konvaljebacken 4B,8000000,1267.0,180.0,"Trångsund, Huddinge kommun",44444.0,5.0,2025-10-23,Sold
Strids väg 4,8765000,1569.0,153.0,"Högmora, Huddinge kommun",57288.0,6.0,2024-12-10,Sold
Vretvägen 13,5900000,1714.0,97.0,"Trollbäcken, Tyresö kommun",60825.0,8.0,2024-11-10,Sold
Fasanvägen 11B,10900000,1015.0,171.0,"Segeltorp, Huddinge kommun",63743.0,6.0,2024-05-29,Available
Viktoriavägen 8A,15200000,823.0,185.0,"Älvsjö/Långbro, Stockholms kommun",82162.0,8.0,2024-09-27,Sold
Parkvägen 28,7000000,579.0,145.0,"Fornudden-Persudde, Tyresö kommun",48276.0,6.0,2025-02-13,Sold
Sandviksvägen 14,5775000,662.0,117.0,"Hässelby Södra Villastad, Stockholms kommun",49359.0,4.0,2024-10-26,Sold
Ugglemossvägen 32,15000000,978.0,115.0,"Mälarhöjden, Stockholms kommun",130435.0,5.0,2023-08-03,Available
Mickelsbersbergsvägen 256,10600000,830.0,125.0,"Herrängen - Segeltorp, Huddinge kommun",84800.0,6.0,2023-07-18,Sold
Sidensvansvägen 5,8900000,585.0,70.0,"Älvsjö/Herrängen, Stockholms kommun",127143.0,5.0,2024-06-16,Available
Malmvägen 12B,8670000,1299.0,131.0,"Lindalen, Tyresö kommun",66183.0,5.0,2023-10-18,Sold
Tjädervägen 32,21100000,706.0,158.0,"Bromma - Ålsten, Stockholms kommun",133544.0,7.0,2025-12-05,Sold
Ollonborrestigen 3,11825000,970.0,164.0,"Älvsjö/Långsjö, Stockholms kommun",72104.0,8.0,2025-02-21,Sold
Älta Strandväg 56,11025000,944.0,198.0,"Kolarängen - Älta Strandväg, Nacka kommun",55682.0,6.0,2024-09-06,Sold
Odonbacken 15,9025000,12444.0,158.0,"Sjöängen/Trångsund, Huddinge kommun",57120.0,7.0,2024-09-01,Sold
Björnmossvägen 8,11550000,761.0,157.0,"Centrala Älta, Nacka kommun",73567.0,7.0,2025-01-04,Sold
Orrspelsvägen 2B,24000000,730.0,200.0,"Stocksund, Danderyds kommun",120000.0,8.0,2024-12-28,Sold
Herserudsvägen 75,20000000,1502.0,265.0,"Herserud, Lidingö kommun",75472.0,8.0,2023-11-16,Sold
Islandsvägen 30,8400000,426.0,78.0,"Norra Ängby, Stockholms kommun",107692.0,6.0,2025-01-13,Sold
Limonitvägen 27,8800000,208.0,122.0,"Beckomberga, Stockholms kommun",72131.0,5.0,2025-12-14,Sold
Murgrönsvägen 29,7150000,594.0,110.0,"Herrängen, Stockholms kommun",65000.0,4.0,2024-06-17,Sold
Österskogsstigen 1,10800000,1117.0,133.0,"Stuvsta, Huddinge kommun",81203.0,8.0,2025-03-31,Sold
Nybyggarvägen 8,9500000,1198.0,115.0,"Stensängen, Huddinge kommun",82609.0,7.0,2025-01-24,Sold
Skogsvägen 37,16150000,749.0,134.0,"Gamla Enskede, Stockholms kommun",120522.0,6.0,2023-07-16,Available
Pirogvägen 13,7880000,552.0,84.0,"Sköndal, Stockholms kommun",93810.0,6.0,2023-08-31,Sold
Nysätravägen 40B,15750000,881.0,86.0,"Nysätra, Nacka kommun",183140.0,5.0,2025-03-16,Sold
Lupinvägen 1,6500000,643.0,182.0,"Hässelby Södra Villastad, Stockholms kommun",35714.0,,2024-09-14,Sold
